Nâng cấp bắt đầu: 11:35:58_16-05-2016
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/funcs/main.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/language/admin_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/language/admin_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/language/en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/language/fr.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/language/vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/theme.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/contact/version.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/feeds/language/admin_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/feeds/language/admin_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/feeds/version.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/freecontent/language/admin_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/freecontent/language/block.global.free_content_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/freecontent/language/data_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/freecontent/version.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/menu/admin/menu.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/menu/language/admin_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/menu/language/admin_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/menu/language/block.config_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/menu/language/block.config_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/menu/version.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/action_mysql.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/content.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/declined.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/main.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/publtime.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/re-published.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/stop.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/tags.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/view.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/admin/waiting.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/blocks/global.block_new_comment.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/blocks/global.block_tophits.ini | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/blocks/global.block_tophits.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/blocks/module.block_newscenter.ini | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/blocks/module.block_newscenter.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/funcs/content.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/funcs/detail.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/funcs/groups.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/funcs/main.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/funcs/print.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/funcs/rating.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/funcs/rss.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/funcs/savefile.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/funcs/search.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/funcs/sendmail.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/funcs/tag.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/funcs/topic.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/funcs/viewcat.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/functions.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/admin_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/admin_fr.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/admin_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/block.global.block_category_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/block.global.block_groups_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/block.global.block_news_cat_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/block.global.block_tophits_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/block.module.block_headline_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/block.module.block_news_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/block.module.block_newscenter_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/block.module.block_newscenter_fr.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/block.module.block_newscenter_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/data_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/language/vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/theme.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/news/version.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/page/action_mysql.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/page/admin/content.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/page/admin/view.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/page/funcs/main.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/page/language/admin_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/page/language/admin_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/page/language/block.global.html_en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/page/language/block.global.html_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/page/language/data_vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/page/language/en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/page/language/vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/page/theme.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/page/version.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/seek/language/en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/seek/language/vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/seek/version.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/statistics/language/en.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/statistics/language/vi.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/statistics/version.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/users/admin/config.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/users/admin/del.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/users/admin/edit.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/users/admin/getuserid.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/users/admin/groups.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/users/admin/main.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/users/admin/setofficial.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/users/admin/user_add.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/users/admin/user_waiting.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/users/admin.menu.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/users/funcs/editinfo.php | SUCCESS
11:36:47_16-05-2016 | 127.0.0.1 | Di chuyển file modules/users/funcs/groups.php | SUCCESS
